School Year,School Number,School Name,Principal,Location 1,Associate Superintendent,Phone,Fax,Hours,Cluster,School Website,Receiving Schools,Feeder Schools
2014,707,Rocky Hill MS,"Dr. Cynthia Eldridge, Acting","22401 Brick Haven Way
Clarksburg, MD 20871
(39.22092537200007, -77.26322671299994)",Dr. Darryl L. Williams,(301) 353-8282,(301) 601-3197,7:55 - 2:40,"Clarksburg, Damascus",http://www.montgomeryschoolsmd.org/schools/rockyhillms/,"Clarksburg, Damascus","Cedar Grove, Clarksburg, Gibbs, Little Bennett"
2014,412,Westland MS,Ms. Alison L. Serino,"5511 Massachusetts Avenue
Bethesda, MD 20816
(38.958430271000054, -77.11007173399997)",Dr. Darryl L. Williams,(301) 320-6515,(301) 320-7054,7:55 - 2:40,Bethesda-Chevy Chase,http://www.montgomeryschoolsmd.org/schools/westlandms/,Bethesda-Chevy Chase,"Bethesda, Chevy Chase, N. Chevy Chase, Rock Creek Forest, Rosemary Hills, Somerset, Westbrook"
2014,647,Silver Spring International MS,Mr. John W. Haas,"313 Wayne Avenue Silver Spring
MD 20910
(38.99981752300005, -77.01413458599995)",Dr. Darryl L. Williams,(301) 650-6544,(301) 562-5244,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/ssims/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Forest Knolls, Highland View, Sligo Creek, Rolling Terrace"
2014,792,Newport Mill MS,Ms. Panagiota (Penny) Tsonis,"11311 Newport Mill Road
Kensington, Maryland 20895
(39.04249839500005, -77.06899995699996)",Dr. Darryl L. Williams,(301) 929-2244,(301) 929-2274,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/newportmillms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Highland, Oakland Terrace, Rock View"
2014,775,Eastern MS,Ms. Casey B. Crouse,"300 University Boulevard
East Silver Spring, MD 20901
(39.023032743000044, -77.01690719999993)",Dr. Darryl L. Williams,(301) 650-6650,(301) 650-6657,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/easternms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Montgomery Knolls, New Hampshire Estates, Oak View, Pine Crest"
2014,237,Robert Frost MS,Dr. Joey N. Jones,"9201 Scott Drive
Rockville, MD 20850
(39.07438392300003, -77.18837323299994)",Dr. Darryl L. Williams,(301) 279-3949,(301) 279-3956,7:55 - 2:40,Thomas S. Wootton,http://www.montgomeryschoolsmd.org/schools/robertfrostms/,Wootton,"DuFief, Fallsmead, Lakewood, Travilah"
2014,755,Takoma Park MS,Miss Alicia M. Deeny,"7611 Piney Branch Road Silver Spring
MD 20910
(38.98539038400003, -77.01424681699996)",Dr. Darryl L. Williams,(301) 650-6444,(301) 650-6430,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/takomaparkms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","East Silver Spring, Piney Branch, Takoma Park"
2014,562,Redland MS,"Mr. Robert Sinclair, Jr.","6505 Muncaster Mill Road
Rockville, MD 20855
(39.139396876000035, -77.13221927399997)",Dr. Darryl L. Williams,(301) 840-4680,(301) 670-2231,7:55 - 2:40,Col. Zadok Magruder,http://www.montgomeryschoolsmd.org/schools/redlandms/,Magruder,"Cashell, Resnik, Sequoyah"
2014,787,A. Mario Loiederman MS,Ms. Nicole A. Sosik,"12701 Goodhill Road Silver Spring
MD 20906
(39.06359538700008, -77.07232071599998)",Dr. Darryl L. Williams,(301) 929-2282,(301) 962-5993,7:55 - 2:40,"Downcounty Consortium, Wheaton",http://www.mcps.k12.md.us/schools/loiedermanms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Bel Pre, Brookhaven, Georgian Forest, Harmony Hills, Shriver, Strathmore, Viers Mill, Weller Road, Wheaton Woods"
2014,247,John Poole MS,Ms. Charlotte W. Boucher,"17014 Tom Fox Avenue
Poolesville, MD 20837
(39.12676922800006, -77.40962048699998)",Dr. Darryl L. Williams,(301) 972-7979,(301) 972-7982,7:35 - 2:20,Poolesville,http://www.montgomeryschoolsmd.org/schools/poolems/,Poolesville HS,"Monocacy, Poolesville"
2014,811,White Oak MS,Ms. Virginia A. de los Santos,"12201 New Hampshire Avenue Silver Spring
MD 20904
(39.055348501000026, -76.99541860499994)",Dr. Darryl L. Williams,(301) 989-5780,(301) 989-5696,7:55 - 2:40,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/whiteoakms/,"Blake, Paint Branch, Springbrook","Broad Acres, Jackson Road, Stonegate, Westover"
2014,522,Lakelands Park MS,Mrs. Deborah R. Higdon,"1200 Main Street
Gaithersburg, MD 20878
(39.11622746900008, -77.23237102599995)",Dr. Darryl L. Williams,(301) 670-1400,(301) 670-1418,7:55 - 2:40,"Northwest, Quince Orchard",http://www.mcps.k12.md.us/schools/lakelandsparkms/,"Northwest, Quince Orchard","Brown Station,  Rachel Carson, Darnestown, Diamond"
2014,708,Kingsview MS,Mr. James N. D'Andrea,"18909 Kingsview Road
Germantown, MD 20874
(39.16503849900005, -77.28698651699995)",Dr. Darryl L. Williams,(301) 601-4611,(301) 601-4610,7:55 - 2:40,Northwest,http://www.montgomeryschoolsmd.org/schools/kingsviewms/,Northwest,"Great Seneca Creek, Matsunaga, McNair"
2014,333,Benjamin Banneker MS,Ms. Ruschelle Reuben,"14800 Perrywood Drive
Burtonsville, MD 20866
(39.09645228800008, -76.94712224799997)",Dr. Darryl L. Williams,(301) 989-5747,(301) 879-1032,7:55 - 2:40,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/bannekerms/,"Blake, Paint Branch, Springbrook","Burtonsville, Fairland, Greencastle"
2014,155,Rosa M. Parks MS,Dr. Donna R. Jones,"19200 Olney Mill Road
Olney, MD 20832
(39.17097295200006, -77.08089909599994)",Dr. Darryl L. Williams,(301) 924-3180,(301) 924-3288,7:55 - 2:40,Sherwood,http://www.montgomeryschoolsmd.org/schools/rosaparksms/,Sherwood,"Belmont, Greenwood, Olney"
2014,311,Francis Scott Key MS,Ms. Yolanda Stanislaus,"910 Schindler Dr Silver Spring
MD 20903
(39.02773270200004, -76.99076285399997)",Dr. Darryl L. Williams,(301) 422-5600,(301) 434-1375,7:55 - 2:40,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/fskms/,"Blake, Paint Branch, Springbrook","Burnt Mills, Cannon Road, Cresthaven, Drew, Nix"
2014,115,Neelsville MS,Ms. Lily (Vicky) Lake-Parcan,"11700 Neelsville Church Road
Germantown, MD 20876
(39.19538524500007, -77.24241104099997)",Dr. Darryl L. Williams,(301) 353-8064,(301) 353-8094,7:55 - 2:40,"Clarksburg, Watkins Mill",http://www.montgomeryschoolsmd.org/schools/neelsvillems/,"Clarksburg, Watkins Mill","Daly, Fox Chapel, South Lake, Stedwick"
2014,521,Shady Grove MS,Mr. Edward K. Owusu,"8100 Midcounty Highway
Gaithersburg, MD 20877
(39.14411431800005, -77.16269827999997)",Dr. Darryl L. Williams,(301) 548-7540,(301) 548-7535,7:55 - 2:40,Col. Zadok Magruder,http://www.montgomeryschoolsmd.org/schools/shadygrovems/,Magruder,"Candlewood, Flower Hill, Mill Creek Towne"
2014,105,Ridgeview MS,Mrs. Monifa B. McKnight,"16600 Raven Rock Drive
Gaithersburg, MD 20878
(39.127493257000026, -77.24784801299995)",Dr. Darryl L. Williams,(240) 406-1300,(301) 840-4679,7:55 - 2:40,Quince Orchard,http://www.montgomeryschoolsmd.org/schools/ridgeviewms/,Quince Orchard,"Diamond, Fields Road, Marshall, Jones Lane"
2014,157,Roberto W. Clemente MS,Mrs. Khadija F. Barkley,"18808 Waring Station Road
Germantown, MD 20874
(39.16520107500003, -77.24691510099996)",Dr. Darryl L. Williams,(301) 601-0344,(301) 601-0370,7:55 - 2:40,"Northwest, S. Valley",http://www.montgomeryschoolsmd.org/schools/clementems/,"Northwest, Seneca Valley","Clopper Mill, Germantown, Great Seneca Creek, McAuliffe, Ride"
2014,818,Col. E. Brooke Lee MS,"Mrs. Kimberly N. Hayden Williams, Acting","11800 Monticello Avenue Silver Spring
MD 20902
(39.04933215500006, -77.02974048499993)",Dr. Darryl L. Williams,(301) 649-8100,(301) 649-8110,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/leems/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Arcola, Glenallan, Kemp Mill"
2014,248,Forest Oak MS,Mr. Arthur Williams,"651 Saybrooke Oaks Boulevard
Gaithersburg, MD 20877
(39.15235347200007, -77.18379322799996)",Dr. Darryl L. Williams,(301) 670-8242,(301) 840-5322,7:55 - 2:40,Gaithersburg,http://www.montgomeryschoolsmd.org/schools/forestoakms/,Gaithersburg HS,"Goshen, Rosemont, Summit Hall, Washington Grove"
2014,812,Parkland MS,Dr. Benjamin T. OuYang,"4610 West Frankfort Drive
Rockville, MD 20853
(39.08516742100005, -77.09097962599998)",Dr. Darryl L. Williams,(301) 438-5700,(301) 460-2699,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/parklandms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Bel Pre, Brookhaven, Georgian Forest, Harmony Hills, Shriver, Strathmore, Viers Mill, Weller Road, Wheaton Woods"
2014,554,Gaithersburg MS,Ms. Carol L. Goddard,"2 Teachers' Way
Gaithersburg, MD 20877
(39.14296664500006, -77.18805885099994)",Dr. Darryl L. Williams,(301) 840-4554,(301) 840-4570,7:55 - 2:40,Gaithersburg,http://www.montgomeryschoolsmd.org/schools/gaithersburgms/,Gaithersburg HS,"Gaithersburg, Laytonsville, Strawberry Knoll"
2014,228,Herbert Hoover MS,Mrs. Yong-Mi Kim,"8810 Postoak Road
Potomac, MD 20854
(39.04681297900004, -77.17854045399997)",Dr. Darryl L. Williams,(301) 469-1010,(301) 469-1013,7:55 - 2:40,Winston Churchill,http://www.montgomeryschoolsmd.org/schools/hooverms/,Churchill,"Beverly Farms, Potomac, Wayside"
2014,428,Thomas W. Pyle MS,Mr. Christopher B. Nardi,"6311 Wilson Lane
Bethesda, MD 20817
(38.98779177000006, -77.12946302999995)",Dr. Darryl L. Williams,(301) 320-6540,(301) 320-6647,7:55 - 2:40,Walt Whitman,http://www.montgomeryschoolsmd.org/schools/pylems/,Whitman,"Bannockburn, Bethesda, Bradley Hills, Burning Tree, Carderock Springs, Wood Acres"
2014,232,Tilden MS,Mrs. Irina LaGrange,"11211 Old Georgetown Road
Rockville, MD 20852
(39.03846736200006, -77.12280088199998)",Dr. Darryl L. Williams,(301) 230-5930,(301) 230-5991,7:55 - 2:40,Walter Johnson,http://www.montgomeryschoolsmd.org/schools/tildenms/,Walter Johnson,"Farmland, Garrett Park, Luxmanor"
