School Year,School Number,School Name,Principal,Location 1,Associate Superintendent,Phone,Fax,Hours,Cluster,School Website,Receiving Schools,Feeder Schools
2014,125,Quince Orchard HS,Mrs. Carole A. Working,"15800 Quince Orchard Road
Gaithersburg, MD 20878
(39.11529771600004, -77.25298592899998)",Dr. Christopher S. Garran,(301) 840-4686,(301) 840-4699,7:25 - 2:10,Quince Orchard,http://www.qohs.org/,,"Lakelands Park, Ridgeview"
2014,201,Richard Montgomery HS,Dr. Nelson McLeod,"250 Richard Montgomery Drive
Rockville, MD 20852
(39.07815079300008, -77.14560648399998)",Dr. Christopher S. Garran,(301) 610-8000,(301) 279-8428,7:25 - 2:10,Richard Montgomery,http://www.montgomeryschoolsmd.org/schools/rmhs/,,Julius West
2014,230,Rockville HS,Ms. Billie-Jean Bensen,"2100 Baltimore Road
Rockville, MD 20851
(39.08650089400004, -77.11670248399997)",Dr. Christopher S. Garran,(301) 517-8105,(301) 517-8288,7:25 - 2:10,Rockville,http://www.montgomeryschoolsmd.org/schools/rockvillehs/,,Wood
2014,545,Watkins Mill HS,Mr. Scott W. Murphy,"10301 Apple Ridge Road
Gaithersburg, MD 20879
(39.16687650100005, -77.18454855899995)",Dr. Christopher S. Garran,(301) 840-3959,(301) 840-3980,7:25 - 2:10,Watkins Mill,http://www.montgomeryschoolsmd.org/schools/watkinsmillhs/,,"Montgomery Village, Neelsville"
2014,234,Thomas S. Wootton HS,Dr. Michael J. Doran,"2100 Wootton Parkway
Rockville, MD 20850
(39.07526341300007, -77.18221671799995)",Dr. Christopher S. Garran,(301) 279-8550,(301) 279-8569,7:25 - 2:10,Thomas S. Wootton,http://www.montgomeryschoolsmd.org/schools/woottonhs/,,"Cabin John, Frost"
2014,152,Poolesville HS,Miss. Deena Levine,"17501 Willard Road
Poolesville, MD 20837
(39.14350130400004, -77.41990486599997)",Dr. Christopher S. Garran,(301) 972-7900,(301) 972-7943,7:25 - 2:10,Poolesville,http://www.montgomeryschoolsmd.org/schools/poolesvillehs/,,John Poole
2014,815,John F. Kennedy HS,"Mr. Joe L. Rubens, Jr., Acting","1901 Randolph Road Silver Spring
MD 20902
(39.06427463000006, -77.03937254899995)",Dr. Christopher S. Garran,(301) 929-2100,(301) 929-2240,7:25 - 2:10,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/kennedyhs/,,"Argyle, Eastern, Lee, Loiederman, Newport Mill, Parkland, Sligo, Silver Spring Int'l, Takoma Park MS"
2014,551,Gaithersburg HS,Dr. Christine C. Handy-Collins,"101 Education Boulevard
Gaithersburg, MD 20877
(39.13492033400007, -77.19405581999996)",Dr. Christopher S. Garran,(301) 284-4500,(301) 284-4701,7:25 - 2:10,Gaithersburg,http://www.montgomeryschoolsmd.org/schools/gaithsbghs/,,"Forest Oak, Gaithersburg"
2014,748,Thomas Edison HS of Technology,Mr. Carlos Hamlin,"12501 Dalewood Drive Silver Spring
MD 20906
(39.06015849700003, -77.06882645499996)",Dr. Christopher S. Garran,(301) 929-2175,(301) 929-2177,7:45 - 1:30,Downcounty Consortium,http://www.mcps.k12.md.us/schools/edison/,,
2014,424,Walter Johnson HS,Mrs. Jennifer A. Baker,"6400 Rock Spring Drive
Bethesda, MD 20814
(39.02687136800006, -77.12644415299997)",Dr. Christopher S. Garran,(301) 803-7100,(301) 571-6986,7:25 - 2:10,Walter Johnson,http://www.montgomeryschoolsmd.org/schools/wjhs/,,"North Bethesda, Tilden"
2014,510,Col. Zadok Magruder HS,Mr. Leroy C. Evans,"5939 Muncaster Mill Road
Rockville, MD 20855
(39.130182078000075, -77.11911782999994)",Dr. Christopher S. Garran,(301) 840-4600,(301) 840-4617,7:25 - 2:10,Col. Zadok Magruder,http://www.montgomeryschoolsmd.org/schools/magruderhs/,,"Redland, Shady Grove"
2014,315,Paint Branch HS,Dr. Myriam A. Rogers,"14121 Old Columbia Pike
Burtonsville, MD 20866
(39.08797795400005, -76.94909413699997)",Dr. Christopher S. Garran,(301) 388-9900,(301) 989-5609,7:25 - 2:10,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/paintbranchhs/,,"Banneker, Briggs Chaney, Farquhar, Key, White Oak"
2014,782,Wheaton HS,Mr. Bennie W. Green,"12601 Dalewood Drive Silver Spring
MD 20906
(39.06115426000008, -77.06829670699994)",Dr. Christopher S. Garran,(301) 929-2050,(301) 929-2081,7:25 - 2:10,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/wheatonhs/,,"Argyle, Eastern, Lee, Loiederman, Newport Mill, Parkland, Sligo, Silver Spring Int'l, Takoma Park MS"
